iter	RMSE
414	0.3135903869
415	0.313351197
416	0.3124571435
417	0.3120032979
418	0.3112802557
419	0.3107584741
420	0.3105548956
421	0.3092980101
422	0.3091725451
423	0.3087306528
424	0.3085230602
425	0.3080360498
426	0.3072509953
427	0.3070425227
428	0.3068535738
429	0.3066463195
430	0.3059457522
431	0.3056095134
432	0.3054648002
433	0.3051809471
434	0.3050511867
435	0.3049187619
436	0.3046587332
437	0.3045482606
438	0.3038557797
439	0.3036662079
440	0.3035369365
441	0.3026603688
442	0.3024329587
443	0.3016471397
444	0.3010163686
445	0.3007911752
446	0.3006566843
447	0.2994214608
448	0.2986796595
449	0.2985597052
450	0.2979959579
451	0.297049596
452	0.2968651216
453	0.2966468196
454	0.2964229817
455	0.2953026794
456	0.2946122858
457	0.2945015484
458	0.2937541907
459	0.293546826
460	0.2934387749
461	0.2933352961
462	0.2932245076
463	0.2931130297
464	0.2929032772
465	0.2927560982
466	0.2925305917
467	0.2917018864
468	0.2909993988
469	0.2903151923
470	0.2896974192
471	0.2892335887
472	0.2891358953
473	0.2888211209
474	0.2886166472
475	0.2878174329
476	0.2877036862
477	0.2876017792
478	0.2873059255
479	0.2870355503
480	0.2864037148
481	0.2862172624
482	0.2861098244
483	0.2858994588
484	0.285790145
485	0.2856144806
486	0.284979453
487	0.2848108568
488	0.2844697193
489	0.284371781
490	0.283745327
491	0.282718946
492	0.2825548298
493	0.282456103
494	0.2821969576
495	0.2819138627
496	0.2817249635
497	0.2816376459
498	0.2812076353
499	0.2811286753
