feature_group,best_model,feature_count,mae,rmse,r2
combined,xgboost,2050,0.42276915414996863,0.5713254350307508,0.8495063205543341
descriptors_logkow,catboost,205,0.43357195979019986,0.5656178721885773,0.8524981763273569
descriptors_only,xgboost,204,0.4566690069212104,0.6048783655686015,0.8313108128279549
logkow_only,catboost,1,0.6033594989962947,0.8379004096162828,0.6763050321445969
fingerprints_only,xgboost,1845,0.670634570293269,0.840308127086245,0.6744420761675407
