similarity_range,compound_count,mean_similarity,mean_absolute_error,median_absolute_error,rmse
"(-0.001, 0.2]",10,0.16924494050033306,0.5965635107755661,0.44185836315155036,0.7447922174293711
"(0.2, 0.4]",56,0.3245884309723744,0.5281906039161341,0.46319110631942734,0.679203570571668
"(0.4, 0.6]",75,0.502765730770577,0.36695563863913216,0.2191326278448105,0.5302590091371095
"(0.6, 0.8]",60,0.671980532897008,0.3563652545809745,0.2973722386360168,0.4450571018773606
"(0.8, 1.0]",11,0.9499250882026001,0.4708330527218905,0.2275990581512452,0.6637307747252364
