model_name,feature_group,scaffold_split_mae,scaffold_split_rmse,scaffold_split_r2,random_split_mae,random_split_rmse,random_split_r2,mae_increase,rmse_increase,r2_change,mae_percent_increase
xgboost,combined,0.4301098906851043,0.5678852194866558,0.7247424048367263,0.4227691541499686,0.5713254350307508,0.8495063205543341,0.007340736535135728,-0.0034402155440950155,-0.12476391571760781,1.7363462927883697
catboost,combined,0.4436565469010529,0.5824246550785879,0.7104672582538321,0.4394621333198157,0.5628843645294915,0.8539204195134653,0.0041944135812371774,0.01954029054909634,-0.14345316125963326,0.9544425476551174
xgboost,descriptors_logkow,0.4469296486109209,0.5856470631187501,0.7072545726895881,0.4367855694144964,0.5876843652156142,0.8407646758770582,0.01014407919642446,-0.0020373020968640354,-0.13351010318747003,2.32243917994416
catboost,descriptors_logkow,0.4676402301639694,0.6033123803665937,0.689327612148923,0.4335719597901998,0.5656178721885773,0.8524981763273569,0.03406827037376958,0.03769450817801645,-0.1631705641784339,7.8575815627594565
catboost,descriptors_only,0.5028783741684368,0.6490850466918018,0.6403985874793217,0.4680033668939691,0.5972437538987762,0.8355422381696446,0.03487500727446774,0.05184129279302563,-0.1951436506903229,7.451871020912767
xgboost,descriptors_only,0.524255189713769,0.6837051913969995,0.60101558139411,0.4566690069212104,0.6048783655686015,0.8313108128279549,0.06758618279255868,0.07882682582839795,-0.2302952314338449,14.799818198352007
catboost,logkow_only,0.5277791723777303,0.697805396728452,0.5843891962934149,0.6033594989962947,0.8379004096162828,0.6763050321445969,-0.0755803266185644,-0.14009501288783077,-0.09191583585118202,-12.526582699749381
random_forest,descriptors_logkow,0.5444107923322684,0.6775838993044617,0.608127907287017,0.4668813820754723,0.6039979234631814,0.8318015328809346,0.0775294102567961,0.07358597584128035,-0.22367362559391757,16.60580465045473
random_forest,combined,0.563492891373802,0.69831954853107,0.5837765161147639,0.5027056159029655,0.6470009158547807,0.8069983893458537,0.06078727547083651,0.05131863267628933,-0.22322187323108977,12.092022358184664
xgboost,logkow_only,0.5727435424638251,0.7640067252796512,0.5017898814950841,0.6281605016608844,0.8706399392907507,0.650515182023589,-0.05541695919705936,-0.10663321401109949,-0.14872530052850497,-8.822101843483383
random_forest,descriptors_only,0.5914380702875401,0.7355742393562837,0.5381816308249798,0.4893339457547175,0.6313343520736655,0.8162319597386889,0.10210412453282264,0.10423988728261824,-0.27805032891370907,20.865939389376255
linear_regression,logkow_only,0.6031607114771277,0.7868147220219238,0.4715996028509869,0.7809138442491138,1.0209511965923768,0.5194250743346424,-0.17775313277198612,-0.23413647457045295,-0.04782547148365546,-22.762195097578825
random_forest,logkow_only,0.6217244334189068,0.8186396913595435,0.42798979703442463,0.730363424938208,0.9849679964760336,0.5527036216739398,-0.10863899151930123,-0.1663283051164901,-0.12471382463951519,-14.87464840240221
linear_regression,descriptors_only,0.6755885133234992,0.8463214011547366,0.3886515338858365,0.8411005293800992,2.3110321861012126,-1.462425673395627,-0.16551201605659993,-1.464710784946476,1.8510772072814634,-19.678030184879827
linear_regression,descriptors_logkow,0.6920536655157803,0.8578615446187098,0.3718655963221428,0.7911071164334923,2.062255933903164,-0.9608134005299832,-0.099053450917712,-1.2043943892844542,1.332678996852126,-12.520864603553258
catboost,fingerprints_only,0.8742055843854176,1.0258816383063816,0.10171800676737774,0.7191231473526002,0.8783860982230752,0.644268724074134,0.15508243703281743,0.14749554008330634,-0.5425507173067563,21.565490918174753
xgboost,fingerprints_only,0.9006677253763324,1.0579579010699995,0.04466661843831976,0.670634570293269,0.840308127086245,0.6744420761675407,0.23003315508306343,0.2176497739837545,-0.6297754577292209,34.300819741885626
random_forest,fingerprints_only,0.9687459080720493,1.1214625827564986,-0.07346467319643524,0.7282036700749461,0.8980213472773076,0.6281870912715259,0.24054223799710317,0.22344123547919092,-0.7016517644679612,33.03227488160651
linear_regression,fingerprints_only,1.7117990940874985,2.211505187814327,-3.1744004213950623,1.824586359250324,2.4534023475405338,-1.7751642706179165,-0.11278726516282545,-0.24189715972620673,-1.3992361507771458,-6.181525176433241
linear_regression,combined,67.87832840671432,141.2519785652597,-17028.710310482522,114.80823668349116,1335.8681003474571,-822768.7217181178,-46.92990827677684,-1194.6161217821975,805740.0114076353,-40.87677821074411
